"name": "Iron Sword",	"name": "鉄の剣",
"name": "Steel Sword",	"name": "鋼の剣",
"name": "Silver Sword",	"name": "銀の剣 ",
"name": "Silver Sword+",	"name": "銀の剣+",
"name": "Armorslayer",	"name": "アーマーキラー",
"name": "Armorslayer+",	"name": "アーマーキラー+",
"name": "Brave Sword",	"name": "勇者の剣",
"name": "Brave Sword+",	"name": "勇者の剣+",
"name": "Killing Edge",	"name": "キルソード",
"name": "Killing Edge+",	"name": "キルソード+",
"name": "Ruby Sword",	"name": "旭日の剣",
"name": "Ruby Sword+",	"name": "旭日の剣+",
"name": "Wo Dao",	"name": "倭刀",
"name": "Wo Dao+",	"name": "倭刀+",
"name": "Binding Blade",	"name": "封印の剣",
"name": "Durandal",	"name": "デュランダル",
"name": "Falchion",	"name": "ファルシオン",
"name": "Folkvangr",	"name": "フォルクヴァング ",
"name": "Mystletainn",	"name": "ミストルティン",
"name": "Raijinto",	"name": "雷神刀",
"name": "Sieglinde",	"name": "ジークリンデ",
"name": "Sol Katti",	"name": "ソール・カティ",
"name": "Tyrfing",	"name": "ティルフィング",
"name": "Yato",	"name": "夜刀神",
"name": "Fire",	"name": "ファイアー",
"name": "Elfire",	"name": "エルファイアー",
"name": "Bolganone",	"name": "ボルガノン",
"name": "Bolganone+",	"name": "ボルガノン+",
"name": "Flux",	"name": "ミィル",
"name": "Ruin",	"name": "ルイン",
"name": "Fenrir",	"name": "ノスフェラート",
"name": "Fenrir+",	"name": "ノスフェラート+",
"name": "Raudrblade",	"name": "ラウアブレード",
"name": "Raudrblade+",	"name": "ラウアブレード+",
"name": "Raudrraven",	"name": "ラウアレイヴン",
"name": "Raudrraven+",	"name": "ラウアレイヴン+",
"name": "Raudrwolf",	"name": "ラウアウルフ",
"name": "Raudrwolf+",	"name": "ラウアウルフ+",
"name": "Brynhildr",	"name": "ブリュンヒルデ",
"name": "Cymbeline",	"name": "シムベリン",
"name": "Iron Axe",	"name": "鉄の斧",
"name": "Steel Axe",	"name": "鋼の斧",
"name": "Silver Axe",	"name": "銀の斧",
"name": "Silver Axe+",	"name": "銀の斧+",
"name": "Brave Axe",	"name": "勇者の斧",
"name": "Brave Axe+",	"name": "勇者の斧+",
"name": "Emerald Axe",	"name": "深緑の斧",
"name": "Emerald Axe+",	"name": "深緑の斧+",
"name": "Hammer",	"name": "ハンマー",
"name": "Hammer+",	"name": "ハンマー+",
"name": "Killer Axe",	"name": "キラーアクス",
"name": "Killer Axe+",	"name": "キラーアクス+",
"name": "Armads",	"name": "アルマーズ",
"name": "Hauteclere",	"name": "オートクレール",
"name": "Noatun",	"name": "ノーアトゥーン",
"name": "Wind",	"name": "ウインド",
"name": "Elwind",	"name": "エルウインド",
"name": "Rexcalibur",	"name": "レクスカリバー",
"name": "Gronnblade",	"name": "グルンブレード",
"name": "Gronnblade+",	"name": "グルンブレード+",
"name": "Gronnraven",	"name": "グルンレイヴン",
"name": "Gronnraven+",	"name": "グルンレイヴン+",
"name": "Gronnwolf",	"name": "グルンウルフ",
"name": "Gronnwolf+",	"name": "グルンウルフ+",
"name": "Excalibur",	"name": "エクスカリバー",
"name": "Naga",	"name": "ナーガ",
"name": "Iron Lance",	"name": "鉄の槍",
"name": "Steel Lance",	"name": "鋼の槍",
"name": "Silver Lance",	"name": "銀の槍",
"name": "Silver Lance+",	"name": "銀の槍+",
"name": "Brave Lance",	"name": "勇者の槍",
"name": "Brave Lance+",	"name": "勇者の槍+",
"name": "Heavy Spear",	"name": "貫きの槍",
"name": "Heavy Spear+",	"name": "貫きの槍+",
"name": "Killer Lance",	"name": "キラーランス",
"name": "Killer Lance+",	"name": "キラーランス+",
"name": "Sapphire Lance",	"name": "蒼海の槍",
"name": "Sapphire Lance+",	"name": "蒼海の槍+",
"name": "Fensalir",	"name": "フェンサリル",
"name": "Siegmund",	"name": "ジークムント",
"name": "Thunder",	"name": "サンダー",
"name": "Elthunder",	"name": "エルサンダー",
"name": "Thoron",	"name": "トロン",
"name": "Blarblade",	"name": "ブラーブレード",
"name": "Blarblade+",	"name": "ブラーブレード+",
"name": "Blarwolf",	"name": "ブラーウルフ",
"name": "Blarwolf+",	"name": "ブラーウルフ+",
"name": "Blarraven",	"name": "ブラーレイヴン",
"name": "Blarraven+",	"name": "ブラーレイヴン+",
"name": "Dire Thunder",	"name": "ダイムサンダ",
"name": "Aura",	"name": "オーラ",
"name": "Fire Breath",	"name": "火のブレス",
"name": "Fire Breath+",	"name": "火のブレス+",
"name": "Flametongue",	"name": "灼熱のブレス",
"name": "Flametongue+",	"name": "灼熱のブレス+",
"name": "Lightning Breath",	"name": "雷のブレス",
"name": "Lightning Breath+",	"name": "雷のブレス+",
"name": "Light Breath",	"name": "光のブレス",
"name": "Light Breath+",	"name": "光のブレス+",
"name": "Dark Breath",	"name": "闇のブレス",
"name": "Dark Breath+",	"name": "闇のブレス+",
"name": "Iron Bow",	"name": "鉄の弓",
"name": "Steel Bow",	"name": "鋼の弓",
"name": "Silver Bow",	"name": "銀の弓",
"name": "Silver Bow+",	"name": "銀の弓+",
"name": "Assassin's Bow",	"name": "暗器殺しの弓",
"name": "Assassin's Bow+",	"name": "暗器殺しの弓+",
"name": "Brave Bow",	"name": "勇者の弓",
"name": "Brave Bow+",	"name": "勇者の弓+",
"name": "Killer Bow",	"name": "キラーボウ",
"name": "Killer Bow+",	"name": "キラーボウ+",
"name": "Fujin Yumi",	"name": "風神弓",
"name": "Parthia",	"name": "パルティア",
"name": "Iron Dagger",	"name": "鉄の暗器",
"name": "Steel Dagger",	"name": "鋼の暗器",
"name": "Silver Dagger",	"name": "銀の暗器",
"name": "Silver Dagger+",	"name": "銀の暗器+",
"name": "Poison Dagger",	"name": "秘毒の暗器",
"name": "Poison Dagger+",	"name": "秘毒の暗器+",
"name": "Rogue Dagger",	"name": "盗賊の暗器",
"name": "Rogue Dagger+",	"name": "盗賊の暗器+",
"name": "Smoke Dagger",	"name": "紫煙の暗器",
"name": "Smoke Dagger+",	"name": "紫煙の暗器+",
"name": "Deathly Dagger",	"name": "死神の暗器",
"name": "Assault",	"name": "アサルト",
"name": "Absorb",	"name": "アブゾーブ",
"name": "Fear",	"name": "フィアー",
"name": "Gravity",	"name": "グラビティ",
"name": "Pain",	"name": "ペイン",
"name": "Panic",	"name": "パニック",
"name": "Slow",	"name": "スロウ",
"name": "Rally Attack",	"name": "攻撃の応援",
"name": "Rally Speed",	"name": "速さの応援",
"name": "Rally Defense",	"name": "守備の応援",
"name": "Rally Resistance",	"name": "魔防の応援",
"name": "Harsh Command",	"name": "一喝",
"name": "Ardent Sacrifice",	"name": "献身",
"name": "Reciprocal Aid",	"name": "相互援助",
"name": "Draw Back",	"name": "引き寄せ",
"name": "Pivot",	"name": "回り込み",
"name": "Reposition",	"name": "引き戻し",
"name": "Shove",	"name": "体当たり",
"name": "Smite",	"name": "ぶちかまし",
"name": "Swap",	"name": "入れ替え",
"name": "Heal",	"name": "ライブ",
"name": "Mend",	"name": "リライブ",
"name": "Reconcile",	"name": "ヒール",
"name": "Recover",	"name": "リカバー",
"name": "Physic",	"name": "リブロー",
"name": "Martyr",	"name": "セインツ",
"name": "Rehabilitate",	"name": "リバース",
"name": "Dance",	"name": "踊る",
"name": "Sing",	"name": "歌う",
"name": "Night Sky",	"name": "星影",
"name": "Dragon Gaze",	"name": "伏竜",
"name": "Glowing Ember",	"name": "蛍火",
"name": "Daylight",	"name": "陽影",
"name": "New Moon",	"name": "影月",
"name": "Chilling Wind",	"name": "氷点",
